Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,driverlog,100,0.5,0.6,0.55,0.51,0.83,0.94
rosame,driverlog,100,0.5,0.6,0.94,0.72,0.89,0.64
sam_with,driverlog,100,0.5,0.8,0.59,0.51,0.75,0.86
sam_without,driverlog,100,0.5,0.8,0.37,0.39,0.83,0.94
rosame,driverlog,100,0.5,0.8,0.88,0.81,0.89,0.86
sam_with,driverlog,100,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,100,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,100,0.5,1.0,0.82,0.81,0.89,0.81
sam_with,driverlog,200,0.1,0.2,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.1,0.2,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.1,0.4,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.1,0.4,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.1,0.6,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.1,0.6,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.1,0.8,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.1,0.8,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,200,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,200,0.1,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.2,0.2,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.2,0.2,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.2,0.2,1.0,0.89,1.0,0.81
sam_with,driverlog,200,0.2,0.4,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.2,0.4,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.2,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.2,0.6,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.2,0.6,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.2,0.6,0.94,0.89,1.0,0.81
sam_with,driverlog,200,0.2,0.8,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.2,0.8,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.2,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,200,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,200,0.2,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.3,0.2,1.0,0.94,0.86,0.86
sam_without,driverlog,200,0.3,0.2,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.3,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.3,0.4,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.3,0.4,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.3,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.3,0.6,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.3,0.6,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.3,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.3,0.8,0.72,0.69,1.0,0.72
sam_without,driverlog,200,0.3,0.8,0.3,0.54,1.0,1.0
rosame,driverlog,200,0.3,0.8,1.0,0.89,1.0,0.81
sam_with,driverlog,200,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,200,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,200,0.3,1.0,1.0,0.89,0.92,0.86
sam_with,driverlog,200,0.4,0.2,1.0,0.86,0.75,0.86
sam_without,driverlog,200,0.4,0.2,1.0,0.86,0.81,0.86
rosame,driverlog,200,0.4,0.2,0.94,0.89,1.0,0.81
sam_with,driverlog,200,0.4,0.4,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.4,0.4,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.4,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.4,0.6,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.4,0.6,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.4,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.4,0.8,0.42,0.54,0.86,0.94
sam_without,driverlog,200,0.4,0.8,0.28,0.51,1.0,1.0
rosame,driverlog,200,0.4,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,200,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,200,0.4,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.5,0.2,1.0,0.67,0.69,0.86
sam_without,driverlog,200,0.5,0.2,1.0,0.67,0.75,0.86
rosame,driverlog,200,0.5,0.2,0.94,0.89,1.0,0.81
sam_with,driverlog,200,0.5,0.4,1.0,0.94,1.0,0.86
sam_without,driverlog,200,0.5,0.4,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.5,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.5,0.6,0.79,0.76,1.0,0.72
sam_without,driverlog,200,0.5,0.6,0.46,0.67,1.0,1.0
rosame,driverlog,200,0.5,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.5,0.8,0.51,0.48,0.75,1.0
sam_without,driverlog,200,0.5,0.8,0.36,0.4,0.83,1.0
rosame,driverlog,200,0.5,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,200,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,200,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,200,0.5,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.1,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.1,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.1,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.1,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.1,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.1,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.1,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.1,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.1,0.6,1.0,0.89,1.0,0.81
sam_with,driverlog,300,0.1,0.8,1.0,1.0,1.0,0.86
