Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,rover,400,0.3,0.4,1.0,0.52,0.63,0.6
rosame,rover,400,0.3,0.4,0.78,0.45,0.68,0.54
sam_with,rover,400,0.3,0.6,1.0,0.52,0.63,0.6
sam_without,rover,400,0.3,0.6,1.0,0.52,0.63,0.6
rosame,rover,400,0.3,0.6,0.78,0.45,0.68,0.54
sam_with,rover,400,0.3,0.8,0.46,0.24,0.63,0.67
sam_without,rover,400,0.3,0.8,0.34,0.25,0.63,0.76
rosame,rover,400,0.3,0.8,0.78,0.44,0.63,0.43
sam_with,rover,400,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,400,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,400,0.3,1.0,0.78,0.44,0.68,0.53
sam_with,rover,400,0.4,0.2,1.0,0.3,0.39,0.7
sam_without,rover,400,0.4,0.2,1.0,0.3,0.47,0.7
rosame,rover,400,0.4,0.2,0.78,0.42,0.63,0.43
sam_with,rover,400,0.4,0.4,1.0,0.52,0.63,0.6
sam_without,rover,400,0.4,0.4,1.0,0.52,0.63,0.6
rosame,rover,400,0.4,0.4,0.79,0.42,0.7,0.43
sam_with,rover,400,0.4,0.6,1.0,0.52,0.63,0.6
sam_without,rover,400,0.4,0.6,1.0,0.52,0.63,0.6
rosame,rover,400,0.4,0.6,0.67,0.4,0.64,0.41
sam_with,rover,400,0.4,0.8,0.52,0.22,0.56,0.77
sam_without,rover,400,0.4,0.8,0.44,0.2,0.61,0.8
rosame,rover,400,0.4,0.8,0.78,0.44,0.63,0.53
sam_with,rover,400,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,400,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,400,0.4,1.0,0.78,0.44,0.68,0.51
sam_with,rover,400,0.5,0.2,1.0,0.24,0.36,0.7
sam_without,rover,400,0.5,0.2,1.0,0.24,0.47,0.7
rosame,rover,400,0.5,0.2,0.79,0.43,0.7,0.43
sam_with,rover,400,0.5,0.4,1.0,0.48,0.63,0.6
sam_without,rover,400,0.5,0.4,1.0,0.48,0.63,0.6
rosame,rover,400,0.5,0.4,0.79,0.43,0.7,0.43
sam_with,rover,400,0.5,0.6,0.47,0.25,0.63,0.65
sam_without,rover,400,0.5,0.6,0.37,0.25,0.63,0.71
rosame,rover,400,0.5,0.6,0.78,0.45,0.63,0.54
sam_with,rover,400,0.5,0.8,0.48,0.19,0.56,0.82
sam_without,rover,400,0.5,0.8,0.42,0.18,0.61,0.82
rosame,rover,400,0.5,0.8,0.78,0.45,0.66,0.51
sam_with,rover,400,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,400,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,400,0.5,1.0,0.78,0.45,0.63,0.54
sam_with,rover,1000,0.1,0.2,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.1,0.2,1.0,0.57,0.66,0.56
rosame,rover,1000,0.1,0.2,0.78,0.48,0.63,0.51
sam_with,rover,1000,0.1,0.4,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.1,0.4,1.0,0.57,0.66,0.56
rosame,rover,1000,0.1,0.4,0.89,0.48,0.66,0.51
sam_with,rover,1000,0.1,0.6,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.1,0.6,1.0,0.57,0.66,0.56
rosame,rover,1000,0.1,0.6,0.89,0.43,0.66,0.43
sam_with,rover,1000,0.1,0.8,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.1,0.8,1.0,0.57,0.66,0.56
rosame,rover,1000,0.1,0.8,0.78,0.5,0.63,0.48
sam_with,rover,1000,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,rover,1000,0.1,1.0,1.0,0.0,0.0,1.0
rosame,rover,1000,0.1,1.0,0.89,0.52,0.66,0.51
sam_with,rover,1000,0.2,0.2,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.2,0.2,1.0,0.57,0.66,0.56
rosame,rover,1000,0.2,0.2,0.89,0.44,0.66,0.49
sam_with,rover,1000,0.2,0.4,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.2,0.4,1.0,0.57,0.66,0.56
rosame,rover,1000,0.2,0.4,0.89,0.42,0.66,0.45
sam_with,rover,1000,0.2,0.6,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.2,0.6,1.0,0.57,0.66,0.56
rosame,rover,1000,0.2,0.6,0.78,0.47,0.63,0.51
sam_with,rover,1000,0.2,0.8,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.2,0.8,1.0,0.57,0.66,0.56
rosame,rover,1000,0.2,0.8,0.89,0.47,0.66,0.51
sam_with,rover,1000,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,rover,1000,0.2,1.0,1.0,0.0,0.0,1.0
rosame,rover,1000,0.2,1.0,0.89,0.48,0.66,0.51
sam_with,rover,1000,0.3,0.2,1.0,0.5,0.63,0.66
sam_without,rover,1000,0.3,0.2,1.0,0.5,0.63,0.66
rosame,rover,1000,0.3,0.2,0.89,0.46,0.66,0.51
sam_with,rover,1000,0.3,0.4,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.3,0.4,1.0,0.57,0.66,0.56
rosame,rover,1000,0.3,0.4,0.89,0.45,0.66,0.51
sam_with,rover,1000,0.3,0.6,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.3,0.6,1.0,0.57,0.66,0.56
rosame,rover,1000,0.3,0.6,0.89,0.5,0.66,0.51
sam_with,rover,1000,0.3,0.8,0.46,0.23,0.63,0.65
sam_without,rover,1000,0.3,0.8,0.34,0.24,0.63,0.76
rosame,rover,1000,0.3,0.8,0.78,0.46,0.63,0.51
sam_with,rover,1000,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,rover,1000,0.3,1.0,1.0,0.0,0.0,1.0
rosame,rover,1000,0.3,1.0,0.73,0.52,0.63,0.49
sam_with,rover,1000,0.4,0.2,1.0,0.32,0.39,0.7
sam_without,rover,1000,0.4,0.2,1.0,0.32,0.47,0.7
rosame,rover,1000,0.4,0.2,0.74,0.52,0.63,0.51
sam_with,rover,1000,0.4,0.4,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.4,0.4,1.0,0.57,0.66,0.56
rosame,rover,1000,0.4,0.4,0.78,0.46,0.63,0.51
sam_with,rover,1000,0.4,0.6,1.0,0.57,0.66,0.56
sam_without,rover,1000,0.4,0.6,1.0,0.57,0.66,0.56
rosame,rover,1000,0.4,0.6,0.89,0.45,0.66,0.51
sam_with,rover,1000,0.4,0.8,0.52,0.21,0.56,0.77
sam_without,rover,1000,0.4,0.8,0.44,0.2,0.61,0.8
rosame,rover,1000,0.4,0.8,0.78,0.45,0.63,0.51
sam_with,rover,1000,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,rover,1000,0.4,1.0,1.0,0.0,0.0,1.0
rosame,rover,1000,0.4,1.0,0.78,0.45,0.63,0.51
sam_with,rover,1000,0.5,0.2,1.0,0.25,0.36,0.7
sam_without,rover,1000,0.5,0.2,1.0,0.25,0.47,0.7
rosame,rover,1000,0.5,0.2,0.76,0.47,0.63,0.49
sam_with,rover,1000,0.5,0.4,1.0,0.48,0.63,0.6
sam_without,rover,1000,0.5,0.4,1.0,0.48,0.63,0.6
rosame,rover,1000,0.5,0.4,0.78,0.48,0.63,0.49
sam_with,rover,1000,0.5,0.6,0.47,0.24,0.63,0.63
sam_without,rover,1000,0.5,0.6,0.36,0.24,0.63,0.71
rosame,rover,1000,0.5,0.6,0.89,0.47,0.66,0.49
sam_with,rover,1000,0.5,0.8,0.48,0.19,0.56,0.82
sam_without,rover,1000,0.5,0.8,0.42,0.18,0.61,0.82
rosame,rover,1000,0.5,0.8,0.78,0.46,0.63,0.49
sam_with,rover,1000,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,rover,1000,0.5,1.0,1.0,0.0,0.0,1.0
rosame,rover,1000,0.5,1.0,0.78,0.45,0.63,0.49
sam_with,depot,10,0.1,0.2,1.0,0.57,0.53,0.95
sam_without,depot,10,0.1,0.2,1.0,0.57,0.53,0.95
rosame,depot,10,0.1,0.2,0.65,0.57,0.67,0.55
sam_with,depot,10,0.1,0.4,1.0,0.57,0.53,0.95
sam_without,depot,10,0.1,0.4,1.0,0.57,0.53,0.95
rosame,depot,10,0.1,0.4,0.65,0.72,0.67,0.88
sam_with,depot,10,0.1,0.6,1.0,0.57,0.53,0.95
sam_without,depot,10,0.1,0.6,1.0,0.57,0.53,0.95
rosame,depot,10,0.1,0.6,0.65,0.67,0.67,0.75
sam_with,depot,10,0.1,0.8,1.0,0.57,0.53,0.95
sam_without,depot,10,0.1,0.8,1.0,0.57,0.53,0.95
rosame,depot,10,0.1,0.8,0.65,0.67,0.67,0.75
sam_with,depot,10,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,10,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,10,0.1,1.0,0.6,0.62,0.53,0.68
sam_with,depot,10,0.2,0.2,1.0,0.57,0.53,0.95
sam_without,depot,10,0.2,0.2,1.0,0.57,0.53,0.95
rosame,depot,10,0.2,0.2,0.54,0.65,0.53,0.64
sam_with,depot,10,0.2,0.4,1.0,0.57,0.53,0.95
sam_without,depot,10,0.2,0.4,1.0,0.57,0.53,0.95
rosame,depot,10,0.2,0.4,0.65,0.67,0.67,0.75
sam_with,depot,10,0.2,0.6,1.0,0.57,0.53,0.95
sam_without,depot,10,0.2,0.6,1.0,0.57,0.53,0.95
rosame,depot,10,0.2,0.6,0.6,0.72,0.53,0.88
sam_with,depot,10,0.2,0.8,1.0,0.57,0.53,0.95
sam_without,depot,10,0.2,0.8,1.0,0.57,0.53,0.95
rosame,depot,10,0.2,0.8,0.6,0.65,0.53,0.68
sam_with,depot,10,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,10,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,10,0.2,1.0,0.65,0.67,0.67,0.75
sam_with,depot,10,0.3,0.2,1.0,0.52,0.27,0.95
sam_without,depot,10,0.3,0.2,1.0,0.52,0.47,0.95
rosame,depot,10,0.3,0.2,0.6,0.73,0.53,0.88
sam_with,depot,10,0.3,0.4,1.0,0.57,0.53,0.95
sam_without,depot,10,0.3,0.4,1.0,0.57,0.53,0.95
rosame,depot,10,0.3,0.4,0.65,0.72,0.67,0.88
sam_with,depot,10,0.3,0.6,1.0,0.57,0.53,0.95
sam_without,depot,10,0.3,0.6,1.0,0.57,0.53,0.95
rosame,depot,10,0.3,0.6,0.6,0.57,0.53,0.55
sam_with,depot,10,0.3,0.8,0.96,0.55,0.5,0.91
sam_without,depot,10,0.3,0.8,0.75,0.52,0.53,0.95
rosame,depot,10,0.3,0.8,0.65,0.57,0.67,0.55
sam_with,depot,10,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,10,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,10,0.3,1.0,0.65,0.65,0.67,0.7
sam_with,depot,10,0.4,0.2,1.0,0.52,0.23,0.95
sam_without,depot,10,0.4,0.2,1.0,0.52,0.47,0.95
rosame,depot,10,0.4,0.2,0.6,0.67,0.53,0.75
sam_with,depot,10,0.4,0.4,1.0,0.57,0.53,0.95
sam_without,depot,10,0.4,0.4,1.0,0.57,0.53,0.95
rosame,depot,10,0.4,0.4,0.65,0.67,0.67,0.75
sam_with,depot,10,0.4,0.6,1.0,0.57,0.53,0.95
sam_without,depot,10,0.4,0.6,1.0,0.57,0.53,0.95
rosame,depot,10,0.4,0.6,0.54,0.67,0.53,0.64
sam_with,depot,10,0.4,0.8,0.9,0.52,0.5,0.95
sam_without,depot,10,0.4,0.8,0.75,0.49,0.53,0.95
rosame,depot,10,0.4,0.8,0.65,0.72,0.67,0.88
sam_with,depot,10,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,10,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,10,0.4,1.0,0.7,0.67,0.8,0.75
sam_with,depot,10,0.5,0.2,1.0,0.52,0.23,0.95
sam_without,depot,10,0.5,0.2,1.0,0.52,0.47,0.95
rosame,depot,10,0.5,0.2,0.72,0.67,0.7,0.7
sam_with,depot,10,0.5,0.4,1.0,0.52,0.47,0.95
sam_without,depot,10,0.5,0.4,1.0,0.52,0.47,0.95
rosame,depot,10,0.5,0.4,0.59,0.7,0.67,0.71
sam_with,depot,10,0.5,0.6,0.96,0.55,0.5,0.91
sam_without,depot,10,0.5,0.6,0.75,0.52,0.53,0.95
rosame,depot,10,0.5,0.6,0.6,0.72,0.5,0.83
sam_with,depot,10,0.5,0.8,0.9,0.52,0.5,0.95
sam_without,depot,10,0.5,0.8,0.71,0.39,0.53,0.95
rosame,depot,10,0.5,0.8,0.6,0.62,0.5,0.68
sam_with,depot,10,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,10,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,10,0.5,1.0,0.6,0.72,0.53,0.88
sam_with,depot,100,0.1,0.2,1.0,0.77,0.67,0.88
sam_without,depot,100,0.1,0.2,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0.2,0.8,0.87,0.67,0.88
sam_with,depot,100,0.1,0.4,1.0,0.77,0.67,0.88
sam_without,depot,100,0.1,0.4,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0.4,0.77,0.77,0.67,0.63
sam_with,depot,100,0.1,0.6,1.0,0.77,0.67,0.88
sam_without,depot,100,0.1,0.6,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0.6,0.8,0.77,0.67,0.68
sam_with,depot,100,0.1,0.8,1.0,0.77,0.67,0.88
sam_without,depot,100,0.1,0.8,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0.8,0.85,0.87,0.8,0.88
sam_with,depot,100,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,100,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,100,0.1,1.0,0.8,0.81,0.67,0.73
sam_with,depot,100,0.2,0.2,1.0,0.77,0.67,0.88
sam_without,depot,100,0.2,0.2,1.0,0.77,0.67,0.88
rosame,depot,100,0.2,0.2,0.85,0.87,0.8,0.88
sam_with,depot,100,0.2,0.4,1.0,0.77,0.67,0.88
sam_without,depot,100,0.2,0.4,1.0,0.77,0.67,0.88
rosame,depot,100,0.2,0.4,0.8,0.77,0.67,0.68
sam_with,depot,100,0.2,0.6,1.0,0.77,0.67,0.88
sam_without,depot,100,0.2,0.6,1.0,0.77,0.67,0.88
rosame,depot,100,0.2,0.6,0.8,0.77,0.67,0.68
sam_with,depot,100,0.2,0.8,1.0,0.77,0.67,0.88
sam_without,depot,100,0.2,0.8,1.0,0.77,0.67,0.88
rosame,depot,100,0.2,0.8,0.8,0.77,0.67,0.68
sam_with,depot,100,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,100,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,100,0.2,1.0,0.8,0.87,0.67,0.88
sam_with,depot,100,0.3,0.2,1.0,0.77,0.53,0.88
sam_without,depot,100,0.3,0.2,1.0,0.77,0.67,0.88
rosame,depot,100,0.3,0.2,0.77,0.87,0.67,0.83
sam_with,depot,100,0.3,0.4,1.0,0.77,0.67,0.88
sam_without,depot,100,0.3,0.4,1.0,0.77,0.67,0.88
rosame,depot,100,0.3,0.4,0.8,0.77,0.67,0.68
sam_with,depot,100,0.3,0.6,1.0,0.77,0.67,0.88
sam_without,depot,100,0.3,0.6,1.0,0.77,0.67,0.88
rosame,depot,100,0.3,0.6,0.74,0.8,0.67,0.64
sam_with,depot,100,0.3,0.8,0.81,0.61,0.67,0.79
sam_without,depot,100,0.3,0.8,0.5,0.43,0.67,0.88
rosame,depot,100,0.3,0.8,0.8,0.77,0.67,0.68
sam_with,depot,100,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,100,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,100,0.3,1.0,0.8,0.77,0.67,0.68
sam_with,depot,100,0.4,0.2,1.0,0.77,0.47,0.88
sam_without,depot,100,0.4,0.2,1.0,0.77,0.67,0.88
rosame,depot,100,0.4,0.2,0.85,0.87,0.8,0.88
sam_with,depot,100,0.4,0.4,1.0,0.77,0.67,0.88
sam_without,depot,100,0.4,0.4,1.0,0.77,0.67,0.88
rosame,depot,100,0.4,0.4,0.8,0.77,0.67,0.68
sam_with,depot,100,0.4,0.6,1.0,0.77,0.67,0.88
sam_without,depot,100,0.4,0.6,1.0,0.77,0.67,0.88
rosame,depot,100,0.4,0.6,0.85,0.87,0.8,0.88
sam_with,depot,100,0.4,0.8,0.76,0.58,0.67,0.84
sam_without,depot,100,0.4,0.8,0.49,0.43,0.67,0.88
rosame,depot,100,0.4,0.8,0.8,0.77,0.67,0.68
sam_with,depot,100,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,100,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,100,0.4,1.0,0.8,0.77,0.67,0.68
sam_with,depot,100,0.5,0.2,1.0,0.67,0.33,0.88
sam_without,depot,100,0.5,0.2,1.0,0.67,0.6,0.88
rosame,depot,100,0.5,0.2,0.8,0.77,0.67,0.68
sam_with,depot,100,0.5,0.4,1.0,0.77,0.57,0.88
sam_without,depot,100,0.5,0.4,1.0,0.77,0.67,0.88
rosame,depot,100,0.5,0.4,0.8,0.87,0.67,0.88
sam_with,depot,100,0.5,0.6,0.87,0.73,0.67,0.79
sam_without,depot,100,0.5,0.6,0.55,0.58,0.67,0.88
rosame,depot,100,0.5,0.6,0.8,0.77,0.67,0.68
sam_with,depot,100,0.5,0.8,0.73,0.58,0.6,0.84
sam_without,depot,100,0.5,0.8,0.5,0.43,0.67,0.88
rosame,depot,100,0.5,0.8,0.8,0.87,0.67,0.82
sam_with,depot,100,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,100,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,100,0.5,1.0,0.73,0.77,0.67,0.62
sam_with,depot,200,0.1,0.2,1.0,0.77,0.67,0.88
sam_without,depot,200,0.1,0.2,1.0,0.77,0.67,0.88
rosame,depot,200,0.1,0.2,0.77,0.87,0.67,0.83
sam_with,depot,200,0.1,0.4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.1,0.4,1.0,0.77,0.67,0.88
rosame,depot,200,0.1,0.4,0.85,0.87,0.8,0.88
sam_with,depot,200,0.1,0.6,1.0,0.77,0.67,0.88
sam_without,depot,200,0.1,0.6,1.0,0.77,0.67,0.88
rosame,depot,200,0.1,0.6,0.8,0.87,0.67,0.88
sam_with,depot,200,0.1,0.8,1.0,0.77,0.67,0.88
sam_without,depot,200,0.1,0.8,1.0,0.77,0.67,0.88
rosame,depot,200,0.1,0.8,0.8,0.77,0.67,0.68
sam_with,depot,200,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,200,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,200,0.1,1.0,0.8,0.97,0.67,0.73
sam_with,depot,200,0.2,0.2,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.2,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.2,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.4,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.2,0.6,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.6,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.6,0.8,0.87,0.67,0.88
sam_with,depot,200,0.2,0.8,1.0,0.77,0.67,0.88
sam_without,depot,200,0.2,0.8,1.0,0.77,0.67,0.88
rosame,depot,200,0.2,0.8,0.82,0.9,0.8,0.84
sam_with,depot,200,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,200,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,200,0.2,1.0,0.8,0.87,0.67,0.73
sam_with,depot,200,0.3,0.2,1.0,0.67,0.5,0.88
sam_without,depot,200,0.3,0.2,1.0,0.67,0.67,0.88
rosame,depot,200,0.3,0.2,0.83,0.85,0.73,0.83
sam_with,depot,200,0.3,0.4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.4,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.4,0.85,0.87,0.8,0.83
sam_with,depot,200,0.3,0.6,1.0,0.77,0.67,0.88
sam_without,depot,200,0.3,0.6,1.0,0.77,0.67,0.88
rosame,depot,200,0.3,0.6,0.85,0.87,0.8,0.88
sam_with,depot,200,0.3,0.8,0.82,0.57,0.67,0.74
sam_without,depot,200,0.3,0.8,0.49,0.43,0.67,0.88
rosame,depot,200,0.3,0.8,0.85,0.87,0.8,0.83
sam_with,depot,200,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,200,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,200,0.3,1.0,1.0,0.97,0.73,0.73
sam_with,depot,200,0.4,0.2,1.0,0.67,0.47,0.88
sam_without,depot,200,0.4,0.2,1.0,0.67,0.67,0.88
rosame,depot,200,0.4,0.2,0.87,0.87,0.73,0.88
sam_with,depot,200,0.4,0.4,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.4,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.4,0.8,0.77,0.67,0.68
sam_with,depot,200,0.4,0.6,1.0,0.77,0.67,0.88
sam_without,depot,200,0.4,0.6,1.0,0.77,0.67,0.88
rosame,depot,200,0.4,0.6,0.85,0.87,0.8,0.88
sam_with,depot,200,0.4,0.8,0.79,0.6,0.67,0.79
sam_without,depot,200,0.4,0.8,0.48,0.43,0.67,0.88
rosame,depot,200,0.4,0.8,0.8,0.87,0.67,0.88
sam_with,depot,200,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,200,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,200,0.4,1.0,0.8,0.77,0.67,0.68
sam_with,depot,200,0.5,0.2,1.0,0.67,0.43,0.88
sam_without,depot,200,0.5,0.2,1.0,0.67,0.67,0.88
rosame,depot,200,0.5,0.2,0.8,0.85,0.67,0.77
sam_with,depot,200,0.5,0.4,1.0,0.7,0.67,0.88
sam_without,depot,200,0.5,0.4,1.0,0.7,0.67,0.88
rosame,depot,200,0.5,0.4,0.87,0.87,0.8,0.77
sam_with,depot,200,0.5,0.6,0.9,0.73,0.67,0.74
sam_without,depot,200,0.5,0.6,0.51,0.46,0.67,0.88
rosame,depot,200,0.5,0.6,0.8,0.77,0.67,0.62
sam_with,depot,200,0.5,0.8,0.73,0.53,0.67,0.79
sam_without,depot,200,0.5,0.8,0.48,0.43,0.67,0.88
rosame,depot,200,0.5,0.8,0.78,0.87,0.8,0.82
sam_with,depot,200,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,200,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,200,0.5,1.0,0.8,0.77,0.67,0.62
sam_with,depot,300,0.1,0.2,1.0,0.77,0.67,0.88
sam_without,depot,300,0.1,0.2,1.0,0.77,0.67,0.88
rosame,depot,300,0.1,0.2,0.8,0.87,0.67,0.88
sam_with,depot,300,0.1,0.4,1.0,0.77,0.67,0.88
sam_without,depot,300,0.1,0.4,1.0,0.77,0.67,0.88
rosame,depot,300,0.1,0.4,0.85,0.87,0.8,0.88
sam_with,depot,300,0.1,0.6,1.0,0.77,0.67,0.88
sam_without,depot,300,0.1,0.6,1.0,0.77,0.67,0.88
rosame,depot,300,0.1,0.6,0.74,0.8,0.67,0.64
sam_with,depot,300,0.1,0.8,1.0,0.77,0.67,0.88
sam_without,depot,300,0.1,0.8,1.0,0.77,0.67,0.88
rosame,depot,300,0.1,0.8,0.8,0.77,0.67,0.68
sam_with,depot,300,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,300,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,300,0.1,1.0,0.8,0.87,0.67,0.88
sam_with,depot,300,0.2,0.2,1.0,0.77,0.67,0.88
sam_without,depot,300,0.2,0.2,1.0,0.77,0.67,0.88
rosame,depot,300,0.2,0.2,0.8,0.9,0.67,0.78
sam_with,depot,300,0.2,0.4,1.0,0.77,0.67,0.88
sam_without,depot,300,0.2,0.4,1.0,0.77,0.67,0.88
rosame,depot,300,0.2,0.4,0.85,0.87,0.8,0.88
sam_with,depot,300,0.2,0.6,1.0,0.77,0.67,0.88
sam_without,depot,300,0.2,0.6,1.0,0.77,0.67,0.88
rosame,depot,300,0.2,0.6,0.87,0.87,0.73,0.88
sam_with,depot,300,0.2,0.8,1.0,0.77,0.67,0.88
sam_without,depot,300,0.2,0.8,1.0,0.77,0.67,0.88
rosame,depot,300,0.2,0.8,0.8,0.77,0.67,0.68
sam_with,depot,300,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,300,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,300,0.2,1.0,0.85,0.88,0.8,0.88
sam_with,depot,300,0.3,0.2,1.0,0.77,0.57,0.88
sam_without,depot,300,0.3,0.2,1.0,0.77,0.67,0.88
rosame,depot,300,0.3,0.2,0.8,0.77,0.67,0.68
sam_with,depot,300,0.3,0.4,1.0,0.77,0.67,0.88
sam_without,depot,300,0.3,0.4,1.0,0.77,0.67,0.88
rosame,depot,300,0.3,0.4,0.8,0.9,0.67,0.88
sam_with,depot,300,0.3,0.6,1.0,0.77,0.67,0.88
sam_without,depot,300,0.3,0.6,1.0,0.77,0.67,0.88
rosame,depot,300,0.3,0.6,0.85,0.87,0.8,0.88
sam_with,depot,300,0.3,0.8,0.81,0.57,0.67,0.73
sam_without,depot,300,0.3,0.8,0.48,0.41,0.67,0.88
rosame,depot,300,0.3,0.8,0.74,0.87,0.67,0.78
sam_with,depot,300,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,300,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,300,0.3,1.0,0.85,0.87,0.8,0.88
sam_with,depot,300,0.4,0.2,1.0,0.7,0.43,0.88
sam_without,depot,300,0.4,0.2,1.0,0.7,0.67,0.88
rosame,depot,300,0.4,0.2,0.8,0.87,0.67,0.88
sam_with,depot,300,0.4,0.4,1.0,0.77,0.67,0.88
sam_without,depot,300,0.4,0.4,1.0,0.77,0.67,0.88
rosame,depot,300,0.4,0.4,0.87,0.87,0.73,0.88
sam_with,depot,300,0.4,0.6,1.0,0.77,0.67,0.88
sam_without,depot,300,0.4,0.6,1.0,0.77,0.67,0.88
rosame,depot,300,0.4,0.6,0.8,0.77,0.67,0.68
sam_with,depot,300,0.4,0.8,0.74,0.58,0.67,0.84
sam_without,depot,300,0.4,0.8,0.48,0.43,0.67,0.88
rosame,depot,300,0.4,0.8,0.74,0.8,0.67,0.64
sam_with,depot,300,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,300,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,300,0.4,1.0,0.85,0.87,0.8,0.88
sam_with,depot,300,0.5,0.2,1.0,0.7,0.4,0.88
sam_without,depot,300,0.5,0.2,1.0,0.7,0.67,0.88
rosame,depot,300,0.5,0.2,0.77,0.87,0.67,0.83
sam_with,depot,300,0.5,0.4,1.0,0.77,0.67,0.88
sam_without,depot,300,0.5,0.4,1.0,0.77,0.67,0.88
rosame,depot,300,0.5,0.4,0.85,0.87,0.8,0.88
sam_with,depot,300,0.5,0.6,0.9,0.6,0.67,0.61
sam_without,depot,300,0.5,0.6,0.48,0.41,0.67,0.88
rosame,depot,300,0.5,0.6,0.8,0.88,0.67,0.88
sam_with,depot,300,0.5,0.8,0.72,0.54,0.67,0.84
