Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,driverlog,400,0.1,0,2,0,1.0,0.89,1.0,0.86
sam,driverlog,400,0.1,0,3,0,1.0,0.94,1.0,0.86
rosame,driverlog,400,0.1,0,3,0,1.0,0.89,1.0,0.86
sam,driverlog,400,0.1,0,4,1,1.0,0.78,0.83,0.86
rosame,driverlog,400,0.1,0,4,0,0.92,0.89,0.94,0.78
sam,depot,100,0.1,0,0,1,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0,0,0,0.85,0.87,0.73,0.78
sam,depot,100,0.1,0,1,2,1.0,0.57,0.53,0.95
rosame,depot,100,0.1,0,1,0,0.65,0.67,0.67,0.75
sam,depot,100,0.1,0,2,0,1.0,0.97,0.8,0.88
rosame,depot,100,0.1,0,2,0,1.0,0.97,0.8,0.88
sam,depot,100,0.1,0,3,1,1.0,0.77,0.67,0.88
rosame,depot,100,0.1,0,3,0,0.8,0.87,0.67,0.88
sam,depot,100,0.1,0,4,2,1.0,0.57,0.53,0.95
rosame,depot,100,0.1,0,4,0,0.58,0.73,0.6,0.78
sam,depot,200,0.1,0,0,0,1.0,0.97,0.8,0.88
rosame,depot,200,0.1,0,0,0,1.0,0.97,0.8,0.88
sam,depot,200,0.1,0,1,1,1.0,0.77,0.67,0.88
rosame,depot,200,0.1,0,1,0,0.8,0.87,0.67,0.88
sam,depot,200,0.1,0,2,0,1.0,0.97,0.8,0.88
rosame,depot,200,0.1,0,2,0,1.0,0.97,0.8,0.88
sam,depot,200,0.1,0,3,0,1.0,0.97,0.8,0.88
rosame,depot,200,0.1,0,3,0,1.0,0.97,0.8,0.88
sam,depot,200,0.1,0,4,2,1.0,0.57,0.53,0.95
rosame,depot,200,0.1,0,4,0,0.65,0.57,0.67,0.55
sam,depot,400,0.1,0,0,0,1.0,0.97,0.8,0.88
rosame,depot,400,0.1,0,0,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,1,0,1.0,0.97,0.8,0.88
rosame,depot,400,0.1,0,1,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,2,1,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0,2,0,0.85,0.87,0.8,0.88
sam,depot,400,0.1,0,3,0,1.0,0.97,0.8,0.88
rosame,depot,400,0.1,0,3,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,4,2,1.0,0.57,0.53,0.95
rosame,depot,400,0.1,0,4,0,0.65,0.72,0.67,0.88
