Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,satellite,100,0.2,0.4,3,1,0.1,0.07,0.9
rosame,satellite,100,0.2,0.4,3,0.2,0.4,0.13,0.46
sam_with,satellite,100,0.2,0.4,4,0.6,0.1,0,0.7
sam_without,satellite,100,0.2,0.4,4,1,0,0,1
rosame,satellite,100,0.2,0.4,4,0.2,0.34,0.13,0.35
sam_with,satellite,100,0.2,0.6,0,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.2,0.6,0,1,0.2,0.13,0.9
rosame,satellite,100,0.2,0.6,0,0.25,0.38,0.23,0.36
sam_with,satellite,100,0.2,0.6,1,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.2,0.6,1,1,0.2,0.13,0.9
rosame,satellite,100,0.2,0.6,1,0.28,0.2,0.43,0.1
sam_with,satellite,100,0.2,0.6,2,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.2,0.6,2,1,0.2,0.13,0.9
rosame,satellite,100,0.2,0.6,2,0.2,0.3,0.13,0.3
sam_with,satellite,100,0.2,0.6,3,0.8,0.1,0.07,0.7
sam_without,satellite,100,0.2,0.6,3,1,0.1,0.07,0.9
rosame,satellite,100,0.2,0.6,3,0.25,0.28,0.23,0.18
sam_with,satellite,100,0.2,0.6,4,0.6,0.1,0,0.8
sam_without,satellite,100,0.2,0.6,4,1,0,0,1
rosame,satellite,100,0.2,0.6,4,0.05,0.17,0.1,0.3
sam_with,satellite,100,0.2,0.8,0,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.2,0.8,0,1,0.2,0.13,0.9
rosame,satellite,100,0.2,0.8,0,0.23,0.33,0.33,0.3
sam_with,satellite,100,0.2,0.8,1,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.2,0.8,1,1,0.2,0.13,0.9
rosame,satellite,100,0.2,0.8,1,0.27,0.43,0.23,0.46
sam_with,satellite,100,0.2,0.8,2,0.8,0.2,0.07,0.8
sam_without,satellite,100,0.2,0.8,2,1,0.2,0.13,1
rosame,satellite,100,0.2,0.8,2,0.1,0.17,0.07,0.2
sam_with,satellite,100,0.2,0.8,3,0.8,0.1,0.07,0.7
sam_without,satellite,100,0.2,0.8,3,1,0.1,0.07,0.9
rosame,satellite,100,0.2,0.8,3,0.13,0.1,0.27,0.1
sam_with,satellite,100,0.2,0.8,4,0.6,0.1,0,0.8
sam_without,satellite,100,0.2,0.8,4,1,0,0,1
rosame,satellite,100,0.2,0.8,4,0.05,0.2,0.1,0.3
sam_with,satellite,100,0.2,1,0,0.6,0.2,0,0.7
sam_without,satellite,100,0.2,1,0,0.93,0.1,0.13,0.9
rosame,satellite,100,0.2,1,0,0.18,0.2,0.37,0.3
sam_with,satellite,100,0.2,1,1,0.6,0,0,0.6
sam_without,satellite,100,0.2,1,1,0.9,0.1,0.13,0.9
rosame,satellite,100,0.2,1,1,0.15,0.27,0.17,0.36
sam_with,satellite,100,0.2,1,2,0.6,0.2,0,0.7
sam_without,satellite,100,0.2,1,2,0.9,0.13,0.13,1
rosame,satellite,100,0.2,1,2,0.15,0.27,0.17,0.36
sam_with,satellite,100,0.2,1,3,0.8,0.1,0.07,0.7
sam_without,satellite,100,0.2,1,3,1,0.1,0.07,0.9
rosame,satellite,100,0.2,1,3,0.1,0.27,0.07,0.4
sam_with,satellite,100,0.2,1,4,0.6,0.07,0,0.7
sam_without,satellite,100,0.2,1,4,0.8,0.07,0,0.9
rosame,satellite,100,0.2,1,4,0.12,0.17,0.17,0.25
sam_with,satellite,100,0.3,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.3,0,0,1,0.2,0.13,0.9
rosame,satellite,100,0.3,0,0,0.23,0.5,0.33,0.28
sam_with,satellite,100,0.3,0,1,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.3,0,1,1,0.2,0.13,0.9
rosame,satellite,100,0.3,0,1,0.23,0.3,0.33,0.3
sam_with,satellite,100,0.3,0,2,0.8,0.2,0.13,0.7
