Sum of recall_effect,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
depot,,,,
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.3,,,,
0.2,1,0.75,0.83,2.58
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.83,0.83,2.66
1,1,0,0,1
0.4,,,,
0.2,1,0.78,0.83,2.61
0.4,1,1,1,3
0.6,0.92,1,1,2.92
0.8,1,0.83,0.83,2.66
1,1,0,0,1
0.5,,,,
0.2,1,0.83,0.83,2.66
0.4,1,0.94,0.94,2.88
0.6,0.94,1,1,2.94
0.8,0.94,0.83,0.83,2.6
1,1,0,0,1
400,,,,
0.1,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.2,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.3,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.4,,,,
0.2,1,0.81,0.94,2.75
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.94,1,2.94
1,1,0,0,1
0.5,,,,
0.2,1,0.72,0.94,2.66
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.94,1,2.94
1,1,0,0,1
1000,,,,
0.1,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,0.92,1,1,2.92
0.8,1,1,1,3
1,1,0,0,1
0.2,,,,
0.2,1,1,1,3
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.3,,,,
0.2,1,0.89,1,2.89
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,1,1,3
1,1,0,0,1
0.4,,,,
0.2,1,0.83,0.94,2.77
0.4,1,1,1,3
0.6,1,1,1,3
0.8,1,0.94,1,2.94
1,1,0,0,1
0.5,,,,
0.2,1,0.83,0.94,2.77
0.4,1,0.94,1,2.94
0.6,1,1,1,3
0.8,1,0.94,1,2.94
1,1,0,0,1
rover,,,,
10,,,,
0.1,,,,
0.2,0.59,0.5,0.5,1.59
0.4,0.64,0.5,0.5,1.64
0.6,0.62,0.5,0.5,1.62
0.8,0.6,0.5,0.5,1.6
1,0.54,0,0,0.54
0.2,,,,
0.2,0.62,0.5,0.5,1.62
0.4,0.57,0.5,0.5,1.57
0.6,0.67,0.5,0.5,1.67
0.8,0.57,0.5,0.5,1.57
1,0.54,0,0,0.54
0.3,,,,
0.2,0.6,0.5,0.5,1.6
0.4,0.6,0.5,0.5,1.6
0.6,0.61,0.5,0.5,1.61
0.8,0.57,0.5,0.5,1.57
1,0.57,0,0,0.57
0.4,,,,
0.2,0.64,0.33,0.39,1.36
0.4,0.63,0.5,0.5,1.63
0.6,0.5,0.5,0.5,1.5
0.8,0.56,0.42,0.5,1.48
1,0.67,0,0,0.67
0.5,,,,
0.2,0.57,0.31,0.31,1.19
0.4,0.63,0.5,0.5,1.63
0.6,0.68,0.5,0.5,1.68
0.8,0.56,0.39,0.5,1.45
1,0.67,0,0,0.67
100,,,,
0.1,,,,
0.2,0.63,0.63,0.63,1.89
0.4,0.63,0.63,0.63,1.89
0.6,0.63,0.63,0.63,1.89
0.8,0.63,0.63,0.63,1.89
1,0.63,0,0,0.63
0.2,,,,
0.2,0.63,0.63,0.63,1.89
0.4,0.63,0.63,0.63,1.89
0.6,0.66,0.63,0.63,1.92
0.8,0.68,0.63,0.63,1.94
1,0.68,0,0,0.68
0.3,,,,
0.2,0.7,0.58,0.63,1.91
0.4,0.7,0.63,0.63,1.96
0.6,0.66,0.63,0.63,1.92
0.8,0.66,0.63,0.63,1.92
1,0.63,0,0,0.63
0.4,,,,
0.2,0.63,0.39,0.47,1.49
0.4,0.68,0.63,0.63,1.94
0.6,0.7,0.63,0.63,1.96
0.8,0.7,0.56,0.61,1.87
1,0.7,0,0,0.7
0.5,,,,
0.2,0.63,0.36,0.47,1.46
0.4,0.7,0.63,0.63,1.96
0.6,0.7,0.63,0.63,1.96
0.8,0.66,0.56,0.61,1.83
1,0.68,0,0,0.68
200,,,,
0.1,,,,
0.2,0.66,0.66,0.66,1.98
0.4,0.66,0.66,0.66,1.98
0.6,0.66,0.66,0.66,1.98
0.8,0.63,0.66,0.66,1.95
1,0.66,0,0,0.66
0.2,,,,
0.2,0.66,0.66,0.66,1.98
0.4,0.66,0.66,0.66,1.98
0.6,0.66,0.66,0.66,1.98
0.8,0.66,0.66,0.66,1.98
1,0.66,0,0,0.66
0.3,,,,
0.2,0.66,0.63,0.63,1.92
0.4,0.66,0.66,0.66,1.98
0.6,0.66,0.66,0.66,1.98
0.8,0.66,0.63,0.63,1.92
1,0.66,0,0,0.66
0.4,,,,
0.2,0.66,0.39,0.47,1.52
0.4,0.63,0.66,0.66,1.95
0.6,0.66,0.66,0.66,1.98
0.8,0.63,0.56,0.61,1.8
1,0.66,0,0,0.66
0.5,,,,
0.2,0.66,0.36,0.47,1.49
0.4,0.66,0.63,0.63,1.92
0.6,0.66,0.63,0.63,1.92
0.8,0.61,0.56,0.61,1.78
1,0.66,0,0,0.66
300,,,,
0.1,,,,
0.2,0.66,0.61,0.61,1.88
0.4,0.72,0.61,0.61,1.94
0.6,0.66,0.61,0.61,1.88
0.8,0.68,0.61,0.61,1.9
1,0.61,0,0,0.61
0.2,,,,
0.2,0.66,0.61,0.61,1.88
0.4,0.7,0.61,0.61,1.92
0.6,0.66,0.61,0.61,1.88
0.8,0.61,0.61,0.61,1.83
1,0.68,0,0,0.68
0.3,,,,
0.2,0.66,0.61,0.61,1.88
0.4,0.68,0.61,0.61,1.9
0.6,0.61,0.61,0.61,1.83
0.8,0.7,0.61,0.61,1.92
1,0.61,0,0,0.61
0.4,,,,
0.2,0.74,0.39,0.47,1.6
0.4,0.66,0.61,0.61,1.88
0.6,0.7,0.61,0.61,1.92
0.8,0.72,0.56,0.61,1.89
1,0.62,0,0,0.62
0.5,,,,
0.2,0.66,0.36,0.47,1.49
0.4,0.74,0.61,0.61,1.96
0.6,0.68,0.61,0.61,1.9
0.8,0.66,0.56,0.61,1.83
1,0.66,0,0,0.66
400,,,,
0.1,,,,
0.2,0.63,0.63,0.63,1.89
0.4,0.63,0.63,0.63,1.89
0.6,0.63,0.63,0.63,1.89
0.8,0.68,0.63,0.63,1.94
1,0.63,0,0,0.63
0.2,,,,
0.2,0.68,0.63,0.63,1.94
0.4,0.68,0.63,0.63,1.94
0.6,0.68,0.63,0.63,1.94
0.8,0.63,0.63,0.63,1.89
1,0.7,0,0,0.7
0.3,,,,
0.2,0.68,0.58,0.63,1.89
0.4,0.68,0.63,0.63,1.94
0.6,0.68,0.63,0.63,1.94
0.8,0.63,0.63,0.63,1.89
1,0.68,0,0,0.68
0.4,,,,
0.2,0.63,0.39,0.47,1.49
0.4,0.7,0.63,0.63,1.96
0.6,0.64,0.63,0.63,1.9
0.8,0.63,0.56,0.61,1.8
1,0.68,0,0,0.68
0.5,,,,
0.2,0.7,0.36,0.47,1.53
0.4,0.7,0.63,0.63,1.96
0.6,0.63,0.63,0.63,1.89
0.8,0.66,0.56,0.61,1.83
1,0.63,0,0,0.63
1000,,,,
0.1,,,,
0.2,0.63,0.66,0.66,1.95
0.4,0.66,0.66,0.66,1.98
0.6,0.66,0.66,0.66,1.98
0.8,0.63,0.66,0.66,1.95
1,0.66,0,0,0.66
0.2,,,,
0.2,0.66,0.66,0.66,1.98
0.4,0.66,0.66,0.66,1.98
0.6,0.63,0.66,0.66,1.95
0.8,0.66,0.66,0.66,1.98
1,0.66,0,0,0.66
0.3,,,,
0.2,0.66,0.63,0.63,1.92
0.4,0.66,0.66,0.66,1.98
0.6,0.66,0.66,0.66,1.98
0.8,0.63,0.63,0.63,1.89
1,0.63,0,0,0.63
0.4,,,,
0.2,0.63,0.39,0.47,1.49
0.4,0.63,0.66,0.66,1.95
0.6,0.66,0.66,0.66,1.98
0.8,0.63,0.56,0.61,1.8
1,0.63,0,0,0.63
0.5,,,,
0.2,0.63,0.36,0.47,1.46
0.4,0.63,0.63,0.63,1.89
0.6,0.66,0.63,0.63,1.92
0.8,0.63,0.56,0.61,1.8
1,0.63,0,0,0.63
Grand Total,337.67,244.4,252.02,834.09
