Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,depot,300,0.1,0,3,0,0.94,1.0,0.8,0.84
sam,depot,300,0.1,0,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.1,0,4,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,0,0,1.0,0.97,1.0,1.0
rosame,depot,400,0.1,0,0,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,1,0,1.0,0.97,1.0,1.0
rosame,depot,400,0.1,0,1,0,0.94,0.97,0.8,0.78
sam,depot,400,0.1,0,2,0,1.0,0.97,1.0,1.0
rosame,depot,400,0.1,0,2,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,3,0,1.0,0.97,1.0,1.0
rosame,depot,400,0.1,0,3,0,1.0,0.97,0.8,0.88
sam,depot,400,0.1,0,4,0,1.0,0.97,1.0,1.0
rosame,depot,400,0.1,0,4,0,1.0,0.97,0.8,0.88
sam,zeno-travel,10,0.1,0,0,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,10,0.1,0,0,0,0.8,0.8,0.8,0.8
sam,zeno-travel,10,0.1,0,1,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,10,0.1,0,1,0,0.8,0.8,0.8,0.8
sam,zeno-travel,10,0.1,0,2,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,10,0.1,0,2,0,0.87,0.93,0.9,1.0
sam,zeno-travel,10,0.1,0,3,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,10,0.1,0,3,0,0.8,0.8,0.8,0.8
sam,zeno-travel,10,0.1,0,4,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,10,0.1,0,4,0,0.84,0.8,0.9,0.8
sam,zeno-travel,50,0.1,0,0,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,50,0.1,0,0,0,1.0,1.0,1.0,1.0
sam,zeno-travel,50,0.1,0,1,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,50,0.1,0,1,0,1.0,1.0,1.0,1.0
sam,zeno-travel,50,0.1,0,2,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,50,0.1,0,2,0,1.0,1.0,1.0,1.0
sam,zeno-travel,50,0.1,0,3,1,1.0,0.8,0.8,1.0
rosame,zeno-travel,50,0.1,0,3,0,0.8,0.84,0.8,0.85
sam,zeno-travel,50,0.1,0,4,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,50,0.1,0,4,0,1.0,1.0,1.0,1.0
sam,zeno-travel,100,0.1,0,0,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,100,0.1,0,0,0,0.93,1.0,1.0,0.9
sam,zeno-travel,100,0.1,0,1,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,100,0.1,0,1,0,1.0,1.0,1.0,1.0
sam,zeno-travel,100,0.1,0,2,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,100,0.1,0,2,0,1.0,1.0,1.0,1.0
sam,zeno-travel,100,0.1,0,3,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,100,0.1,0,3,0,1.0,1.0,0.9,0.93
sam,zeno-travel,100,0.1,0,4,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,100,0.1,0,4,0,1.0,1.0,1.0,1.0
sam,zeno-travel,200,0.1,0,0,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,200,0.1,0,0,0,1.0,1.0,1.0,1.0
sam,zeno-travel,200,0.1,0,1,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,200,0.1,0,1,0,1.0,1.0,1.0,1.0
sam,zeno-travel,200,0.1,0,2,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,200,0.1,0,2,0,0.9,1.0,1.0,0.87
sam,zeno-travel,200,0.1,0,3,0,1.0,1.0,1.0,1.0
