Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,depot,3000,0.2,0.8,3,0,1.0,0.85,0.5,1.0
sam_without,depot,300,0.2,0.8,3,0,1.0,0.85,0.8,1.0
rosame,depot,300,0.2,0.8,3,0,0.97,1.0,0.97,0.79
sam_with,depot,3000,0.2,0.8,4,0,1.0,0.85,0.43,1.0
sam_without,depot,300,0.2,0.8,4,0,1.0,0.85,0.67,1.0
rosame,depot,300,0.2,0.8,4,0,0.83,0.93,0.83,0.69
sam_with,depot,3000,0.2,1.0,0,0,0.48,0.3,0.17,0.12
sam_without,depot,300,0.2,1.0,0,0,0.34,0.42,0.6,0.45
rosame,depot,300,0.2,1.0,0,0,0.3,0.14,0.3,0.12
sam_with,depot,3000,0.2,1.0,1,0,0.5,0.21,0.2,0.27
sam_without,depot,300,0.2,1.0,1,0,0.45,0.43,0.53,0.55
rosame,depot,300,0.2,1.0,1,0,0.47,0.4,0.47,0.27
sam_with,depot,3000,0.2,1.0,2,0,0.5,0.0,0.2,0.0
sam_without,depot,300,0.2,1.0,2,0,0.34,0.34,0.6,0.34
rosame,depot,300,0.2,1.0,2,0,0.47,0.5,0.47,0.28
sam_with,depot,3000,0.2,1.0,3,0,0.43,0.2,0.27,0.1
sam_without,depot,300,0.2,1.0,3,0,0.36,0.37,0.6,0.39
rosame,depot,300,0.2,1.0,3,0,0.52,0.67,0.53,0.26
sam_with,depot,3000,0.2,1.0,4,0,0.28,0.07,0.1,0.07
sam_without,depot,300,0.2,1.0,4,0,0.28,0.29,0.47,0.35
rosame,depot,300,0.2,1.0,4,0,0.33,0.2,0.33,0.04
sam_with,depot,3000,0.3,0.2,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.2,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.2,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.2,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.2,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.2,1,0,0.97,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.2,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.2,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.2,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.2,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.2,3,0,1.0,0.97,1.0,1.0
